,Date,Total Responden,Total Rating,CSAT [After]
538,2025-08-30,17,65,3.82
539,2025-08-31,22,87,3.95
540,2025-09-01,22,83,3.77
541,2025-09-02,24,89,3.71
542,2025-09-03,26,105,4.04
543,2025-09-04,26,93,3.58
544,2025-09-05,24,92,3.83
545,2025-09-06,24,82,3.42
546,2025-09-07,35,129,3.69
547,2025-09-08,22,84,3.82
548,2025-09-09,24,90,3.75
549,2025-09-10,16,63,3.94
550,2025-09-11,44,157,3.57
551,2025-09-12,17,53,3.12
552,2025-09-13,17,59,3.47
553,2025-09-14,17,77,4.53
554,2025-09-15,35,133,3.80
555,2025-09-16,19,85,4.47
556,2025-09-17,25,95,3.80
557,2025-09-18,21,74,3.52
558,2025-09-19,15,57,3.80
559,2025-09-20,20,77,3.85
560,2025-09-21,23,90,3.91
561,2025-09-22,32,112,3.50
562,2025-09-23,23,85,3.70
563,2025-09-24,25,85,3.40
564,2025-09-25,36,127,3.40
565,2025-09-26,23,91,3.96
566,2025-09-27,19,77,4.05
567,2025-09-28,22,78,3.55
568,2025-09-29,23,69,3.00
569,2025-09-30,28,97,3.46
570,2025-10-01,31,100,3.23
571,2025-10-02,30,98,3.27
572,2025-10-03,28,99,3.54
573,2025-10-04,23,90,3.91
574,2025-10-05,17,59,3.47
575,2025-10-06,29,112,3.86
576,2025-10-07,18,70,3.89
577,2025-10-08,26,93,3.58
578,2025-10-09,17,61,3.59
579,2025-10-10,20,78,3.90
580,2025-10-11,20,74,3.70
581,2025-10-12,22,86,3.91
582,2025-10-13,22,83,3.77
583,2025-10-14,22,87,3.95
584,2025-10-15,26,97,3.73
585,2025-10-16,21,92,4.38
586,2025-10-17,17,69,4.06
587,2025-10-18,13,60,4.62
588,2025-10-19,22,69,3.14
589,2025-10-20,26,104,4.00
590,2025-10-21,22,95,4.32
591,2025-10-22,28,111,3.96
592,2025-10-23,28,103,3.68
593,2025-10-24,20,75,3.75
594,2025-10-25,17,66,3.88
595,2025-10-26,25,101,4.04
